ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,VmStk,VmExe,VmLib,DeltaMemoryUsageInKbFromTop
4,centralized,5,smoc4,14.771,2500132,2495612,157708,145076,248136,132,8,5508,2437
4,centralized,6,smoc1,30.017,2496968,2492292,160532,150156,246972,132,8,5508,2433
4,centralized,6,smoc2,30.392,2496448,2492428,160404,151572,246976,132,8,5508,2434
4,centralized,6,smoc3,30.366,2504712,2500184,162712,154500,254796,132,8,5508,2441
4,centralized,6,smoc4,16.128,2498944,2494376,156288,147092,247032,132,8,5508,2435
4,centralized,7,smoc1,28.988,2496628,2492060,155924,147980,246544,132,8,5508,2433
4,centralized,7,smoc2,29.928,2497492,2492964,156152,148108,248096,132,8,5508,2434
4,centralized,7,smoc3,28.805,2496108,2491644,156152,151012,246256,132,8,5508,2433
4,centralized,7,smoc4,14.891,2499692,2495116,158592,147192,248228,132,8,5508,2436
4,centralized,8,smoc1,32.331,2497660,2492992,159448,151568,248320,132,8,5508,2434
4,centralized,8,smoc2,32.569,2496616,2492056,157136,149820,246928,132,8,5508,2433
4,centralized,8,smoc3,32.44,2496940,2492272,159056,150688,247276,132,8,5508,2433
4,centralized,8,smoc4,14.876,2500304,2495724,158972,151480,248836,132,8,5508,2437
4,centralized,9,smoc1,29.923,2496936,2491904,157560,151468,246776,132,8,5508,2433
4,centralized,9,smoc2,29.759,2496756,2492284,156260,149844,246964,132,8,5508,2433
4,centralized,9,smoc3,30.22,2496772,2492104,160056,152664,246848,132,8,5508,2433
4,centralized,9,smoc4,14.957,2507348,2501276,168212,151680,253412,132,8,5508,2442
4,centralized,10,smoc1,32.389,2495936,2491428,158028,149280,246300,132,8,5508,2433
4,centralized,10,smoc2,32.236,2497148,2493920,161908,151116,249104,132,8,5508,2434
4,centralized,10,smoc3,32.431,2496396,2491728,160620,152912,246404,132,8,5508,2432
4,centralized,10,smoc4,16.513,2499748,2495180,157184,150584,247900,132,8,5508,2436
8,centralized,1,smoc1,95.911,2498824,2494128,158100,151244,247772,132,8,5508,2435
8,centralized,1,smoc2,95.427,2498592,2493924,161100,149020,248212,132,8,5508,2435
8,centralized,1,smoc3,96.04,2499480,2494800,160116,149580,248764,132,8,5508,2436
8,centralized,1,smoc4,95.829,2501516,2495884,157724,148412,249200,132,8,5508,2437
8,centralized,1,smoc5,96.145,2498748,2494188,155228,148248,247572,132,8,5508,2435
8,centralized,1,smoc6,95.828,2498816,2494136,161904,150172,248096,132,8,5508,2435
8,centralized,1,smoc7,95.916,2499140,2494456,160644,152268,248228,132,8,5508,2435
8,centralized,1,smoc8,21.242,2500284,2495708,158540,148800,248492,132,8,5508,2437
8,centralized,2,smoc1,84.929,2497328,2492748,158172,148608,246132,132,8,5508,2434
8,centralized,2,smoc2,84.762,2497984,2493460,155408,150848,247364,132,8,5508,2435
8,centralized,2,smoc3,86.091,2502004,2496876,160836,150836,250584,132,8,5508,2438
8,centralized,2,smoc4,85.364,2498568,2494000,155636,148596,247384,132,8,5508,2435
8,centralized,2,smoc5,84.171,2499696,2495028,160796,149308,248476,132,8,5508,2436
8,centralized,2,smoc6,84.391,2499288,2494768,155744,148972,247824,132,8,5508,2436
8,centralized,2,smoc7,84.994,2498228,2493548,158340,149860,247380,132,8,5508,2435
8,centralized,2,smoc8,18.769,2497484,2492968,154788,147648,245752,132,8,5508,2434
8,centralized,3,smoc1,85.078,2494676,2492896,150068,147280,246280,132,8,5508,2434
8,centralized,3,smoc2,83.223,2498016,2493336,160128,149524,246588,132,8,5508,2434
8,centralized,3,smoc3,84.839,2498664,2493988,160528,153108,247696,132,8,5508,2435
8,centralized,3,smoc4,83.755,2496064,2494296,149580,147292,247288,132,8,5508,2435
8,centralized,3,smoc5,84.838,2498716,2494196,154600,148736,247580,132,8,5508,2435
8,centralized,3,smoc6,84.437,2497880,2493412,157608,150924,246988,132,8,5508,2434
8,centralized,3,smoc7,86.456,2499080,2494604,157264,149844,248568,132,8,5508,2436
8,centralized,3,smoc8,20.579,2499076,2493724,160272,150036,247484,132,8,5508,2435
8,centralized,4,smoc1,85.641,2497564,2493044,157100,148872,246296,132,8,5508,2434
8,centralized,4,smoc2,84.372,2497060,2492552,156428,149572,246000,132,8,5508,2434
8,centralized,4,smoc3,86.18,2502288,2497620,164252,150812,251260,132,8,5508,2439
8,centralized,4,smoc4,86.664,2498960,2494440,156872,148408,247496,132,8,5508,2435
8,centralized,4,smoc5,86.334,2497940,2493372,157704,148528,246820,132,8,5508,2434
8,centralized,4,smoc6,86.29,2497904,2493236,160064,150956,246812,132,8,5508,2434
8,centralized,4,smoc7,84.851,2499676,2495008,161160,151088,248904,132,8,5508,2436
8,centralized,4,smoc8,22.860,2498208,2493680,157028,150712,246724,132,8,5508,2435
8,centralized,5,smoc1,86.445,2497068,2492392,158540,148172,245776,132,8,5508,2433
8,centralized,5,smoc2,86.273,2496508,2491820,158708,148364,244944,132,8,5508,2433
8,centralized,5,smoc3,84.313,2500444,2495876,154588,147764,249064,132,8,5508,2437
8,centralized,5,smoc4,85.388,2497868,2493348,154040,146944,246732,132,8,5508,2434
8,centralized,5,smoc5,87.369,2506748,2499688,164220,154044,253136,132,8,5508,2441
8,centralized,5,smoc6,87.008,2501680,2496652,158212,149424,250296,132,8,5508,2438
8,centralized,5,smoc7,85.214,2498408,2493848,155860,148036,247548,132,8,5508,2435
8,centralized,5,smoc8,18.958,2497788,2496008,149288,145064,248664,132,8,5508,2437
8,centralized,6,smoc1,85.689,2497780,2492748,154616,147808,246000,132,8,5508,2434
8,centralized,6,smoc2,85.05,2497768,2493208,154432,148856,246588,132,8,5508,2434
8,centralized,6,smoc3,85.35,2495000,2493220,150456,146896,246408,132,8,5508,2434
8,centralized,6,smoc4,85.05,2501740,2497260,157776,149940,250968,132,8,5508,2438
8,centralized,6,smoc5,84.16,2500112,2495096,156872,149184,248480,132,8,5508,2436
8,centralized,6,smoc6,85.892,2499948,2495376,154720,147684,248824,132,8,5508,2436
8,centralized,6,smoc7,86.935,2496656,2492136,157252,148768,246292,132,8,5508,2433
8,centralized,6,smoc8,17.893,2497388,2492828,155104,148264,245420,132,8,5508,2434
8,centralized,7,smoc1,84.452,2497436,2492760,157636,148580,245948,132,8,5508,2434
8,centralized,7,smoc2,84.114,2500576,2495540,158832,148816,249500,132,8,5508,2437
8,centralized,7,smoc3,86.015,2499248,2494564,160752,150892,248336,132,8,5508,2436
8,centralized,7,smoc4,85.308,2497668,2493152,153460,146880,246536,132,8,5508,2434
8,centralized,7,smoc5,86.504,2495340,2493568,148728,144684,247016,132,8,5508,2435
8,centralized,7,smoc6,84.667,2497552,2493036,157204,147908,246224,132,8,5508,2434
8,centralized,7,smoc7,84.53,2503248,2497092,160948,147696,250668,132,8,5508,2438
8,centralized,7,smoc8,20.703,2501060,2496488,157400,149040,249208,132,8,5508,2437
8,centralized,8,smoc1,84.625,2499196,2494732,156376,149212,248824,132,8,5508,2436
8,centralized,8,smoc2,84.522,2498284,2493616,159184,150476,246932,132,8,5508,2435
8,centralized,8,smoc3,84.257,2498632,2493744,160332,151636,247128,132,8,5508,2435
8,centralized,8,smoc4,85.208,2498620,2494052,157304,148940,247628,132,8,5508,2435
8,centralized,8,smoc5,84.421,2500856,2496188,159656,151076,249440,132,8,5508,2437
8,centralized,8,smoc6,84.447,2500180,2495652,156396,148596,249032,132,8,5508,2437
8,centralized,8,smoc7,84.997,2497376,2492684,158784,150872,246068,132,8,5508,2434
8,centralized,8,smoc8,18.135,2498428,2493912,156316,148432,247088,132,8,5508,2435
8,centralized,9,smoc1,85.652,2499496,2494468,156064,147088,248432,132,8,5508,2436
8,centralized,9,smoc2,87.159,2497296,2492724,156252,146932,246172,132,8,5508,2434
8,centralized,9,smoc3,88.083,2500080,2495612,156728,145960,249060,132,8,5508,2437
8,centralized,9,smoc4,87.378,2499504,2494988,156128,149432,248436,132,8,5508,2436
8,centralized,9,smoc5,87.265,2498108,2493440,160996,152532,246824,132,8,5508,2435
8,centralized,9,smoc6,87.655,2499804,2495288,157088,150004,248800,132,8,5508,2436
8,centralized,9,smoc7,88.02,2498460,2493784,159524,150652,247428,132,8,5508,2435
8,centralized,9,smoc8,20.845,2502964,2495644,160736,149340,248104,132,8,5508,2437
8,centralized,10,smoc1,86.327,2497072,2492564,155328,144540,245948,132,8,5508,2434
8,centralized,10,smoc2,85.899,2500700,2496120,156904,150000,249956,132,8,5508,2437
8,centralized,10,smoc3,86.272,2498908,2494432,155948,148168,248392,132,8,5508,2435
8,centralized,10,smoc4,86.98,2498788,2494280,155508,147980,247988,132,8,5508,2435
8,centralized,10,smoc5,85.699,2501624,2497044,157676,147656,250620,132,8,5508,2438
8,centralized,10,smoc6,86.534,2498320,2493792,155532,149772,247436,132,8,5508,2435
8,centralized,10,smoc7,85.477,2498960,2494392,155260,147432,247448,132,8,5508,2435
8,centralized,10,smoc8,19.956,2496724,2492256,154760,149572,245172,132,8,5508,2433
8,distributed,1,smoc1,86.899,2496936,2492448,161660,148760,246924,132,8,5508,2434
8,distributed,1,smoc2,83.671,2500324,2495332,162760,149832,249816,132,8,5508,2436
8,distributed,1,smoc3,82.909,2498164,2493688,154668,149788,248236,132,8,5508,2435
8,distributed,1,smoc4,81.008,2500216,2495548,160168,149920,250220,132,8,5508,2437
8,distributed,1,smoc5,82.705,2502336,2496180,161852,149936,250660,132,8,5508,2437
8,distributed,1,smoc6,82.128,2504268,2499364,162552,150396,253780,132,8,5508,2440
8,distributed,1,smoc7,82.434,2498524,2493952,156676,148672,247980,132,8,5508,2435
8,distributed,1,smoc8,26.774,2507468,2500648,166764,156288,255116,132,8,5508,2442
8,distributed,2,smoc1,85.058,2499720,2494832,162440,152252,249316,132,8,5508,2436
8,distributed,2,smoc2,85.769,2502524,2497996,160220,150648,252348,132,8,5508,2439
8,distributed,2,smoc3,84.306,2497660,2493132,156980,151348,247292,132,8,5508,2434
8,distributed,2,smoc4,85.894,2506804,2499744,166416,153848,254936,132,8,5508,2441
8,distributed,2,smoc5,85.488,2497832,2493156,158984,147304,247380,132,8,5508,2434
8,distributed,2,smoc6,84.932,2500568,2496412,163676,152092,250632,132,8,5508,2437
8,distributed,2,smoc7,85.801,2499700,2494804,161204,152128,248832,132,8,5508,2436
8,distributed,2,smoc8,22.929,2497836,2493096,159672,150776,246720,132,8,5508,2434
8,distributed,3,smoc1,87.824,2499108,2494588,159856,150888,248940,132,8,5508,2436
8,distributed,3,smoc2,86.396,2502044,2497376,165124,151984,252180,132,8,5508,2438
8,distributed,3,smoc3,88.192,2503164,2498136,163600,151312,252808,132,8,5508,2439
8,distributed,3,smoc4,87.774,2499036,2494368,162692,152464,248656,132,8,5508,2435
8,distributed,3,smoc5,85.879,2501264,2496264,162948,152780,251068,132,8,5508,2437
8,distributed,3,smoc6,86.877,2499836,2495308,155204,148768,250116,132,8,5508,2436
8,distributed,3,smoc7,87.019,2497048,2492372,158384,149956,246792,132,8,5508,2433
8,distributed,3,smoc8,23.565,2496756,2492232,157528,151424,246248,132,8,5508,2433
8,distributed,4,smoc1,84.444,2501304,2496284,162392,152588,250704,132,8,5508,2437
8,distributed,4,smoc2,85.192,2498008,2493328,160016,150968,247616,132,8,5508,2434
8,distributed,4,smoc3,87.226,2499580,2494552,161648,151896,248904,132,8,5508,2436
8,distributed,4,smoc4,84.586,2500748,2496180,159904,149740,250340,132,8,5508,2437
8,distributed,4,smoc5,83.888,2501004,2495832,160968,151624,249860,132,8,5508,2437
8,distributed,4,smoc6,84.389,2498884,2494368,157036,149832,248720,132,8,5508,2435
8,distributed,4,smoc7,87.665,2497304,2492788,160116,150652,247656,132,8,5508,2434
8,distributed,4,smoc8,22.130,2498820,2494304,158496,152980,248448,132,8,5508,2435
8,distributed,5,smoc1,81.441,2501384,2496388,163024,151464,250156,132,8,5508,2437
8,distributed,5,smoc2,81.626,2503152,2497496,161164,151236,252044,132,8,5508,2438
8,distributed,5,smoc3,77.994,2497916,2493116,162020,148976,247660,132,8,5508,2434
8,distributed,5,smoc4,83.279,2499804,2494772,162560,151600,249508,132,8,5508,2436
8,distributed,5,smoc5,83.022,2497336,2492820,156616,149676,247368,132,8,5508,2434
8,distributed,5,smoc6,82.759,2507548,2500488,166188,156352,255232,132,8,5508,2441
8,distributed,5,smoc7,82.481,2502668,2496972,167788,151772,251712,132,8,5508,2438
8,distributed,5,smoc8,22.166,2498320,2493852,159816,148048,247152,132,8,5508,2435
8,distributed,6,smoc1,88.292,2497992,2493516,155752,148796,248064,132,8,5508,2435
8,distributed,6,smoc2,86.958,2499172,2494152,163848,152252,248628,132,8,5508,2435
8,distributed,6,smoc3,87.823,2501136,2495440,165608,154540,249792,132,8,5508,2436
8,distributed,6,smoc4,87.106,2499692,2495112,156920,148740,248944,132,8,5508,2436
8,distributed,6,smoc5,87.584,2499104,2494436,161792,150408,249176,132,8,5508,2435
8,distributed,6,smoc6,87.211,2498184,2493132,160692,148188,247288,132,8,5508,2434
8,distributed,6,smoc7,88.214,2499648,2495080,158572,151600,250272,132,8,5508,2436
8,distributed,6,smoc8,23.902,2497816,2492788,160564,151996,246412,132,8,5508,2434
8,distributed,7,smoc1,86.45,2498712,2493820,162528,150600,247980,132,8,5508,2435
8,distributed,7,smoc2,86.626,2498980,2494460,155536,148820,248936,132,8,5508,2435
8,distributed,7,smoc3,85.455,2499048,2494480,158140,148408,248768,132,8,5508,2436
8,distributed,7,smoc4,87.043,2497388,2492496,161364,152392,247040,132,8,5508,2434
8,distributed,7,smoc5,86.368,2500264,2495232,162252,151416,249520,132,8,5508,2436
8,distributed,7,smoc6,86.327,2498948,2494056,159728,149560,248020,132,8,5508,2435
8,distributed,7,smoc7,85.044,2499916,2495012,161576,151336,249236,132,8,5508,2436
8,distributed,7,smoc8,25.896,2496888,2492448,159988,149244,245748,132,8,5508,2434
8,distributed,8,smoc1,84.102,2504132,2499456,162576,152716,253744,132,8,5508,2440
8,distributed,8,smoc2,84.999,2497776,2492892,158880,150204,246852,132,8,5508,2434
8,distributed,8,smoc3,86.242,2499752,2495076,160460,150496,249104,132,8,5508,2436
8,distributed,8,smoc4,86.073,2503404,2498528,160640,151548,252880,132,8,5508,2439
8,distributed,8,smoc5,84.309,2499204,2494308,161140,149796,248532,132,8,5508,2435
8,distributed,8,smoc6,86.263,2502948,2498472,162040,154540,253148,132,8,5508,2439
8,distributed,8,smoc7,85.46,2497220,2492700,157632,148452,247504,132,8,5508,2434
8,distributed,8,smoc8,24.513,2501564,2496528,162172,153200,249828,132,8,5508,2438
8,distributed,9,smoc1,86.807,2498652,2493832,159844,150516,248380,132,8,5508,2435
8,distributed,9,smoc2,86.792,2499252,2494360,162400,150952,248780,132,8,5508,2435
8,distributed,9,smoc3,86.832,2498804,2493900,162596,152504,248252,132,8,5508,2435
8,distributed,9,smoc4,86.975,2502432,2497872,160372,150268,252032,132,8,5508,2439
8,distributed,9,smoc5,87.022,2499592,2494560,160520,148528,248848,132,8,5508,2436
8,distributed,9,smoc6,87.11,2499460,2494436,161224,151332,248400,132,8,5508,2435
8,distributed,9,smoc7,88.355,2499552,2494656,161984,149676,249524,132,8,5508,2436
8,distributed,9,smoc8,24.044,2501408,2496888,158856,153148,250772,132,8,5508,2438
8,distributed,10,smoc1,86.333,2502056,2497024,160564,154812,251508,132,8,5508,2438
8,distributed,10,smoc2,84.774,2497880,2493200,160124,151524,247936,132,8,5508,2434
8,distributed,10,smoc3,86.838,2499620,2494588,163064,149976,249136,132,8,5508,2436
8,distributed,10,smoc4,86.399,2497264,2492748,157228,148100,247296,132,8,5508,2434
8,distributed,10,smoc5,86.264,2498764,2493876,163220,154060,248488,132,8,5508,2435
8,distributed,10,smoc6,86.14,2498224,2493228,161836,150724,247452,132,8,5508,2434
8,distributed,10,smoc7,86.166,2497924,2492888,160660,151576,247112,132,8,5508,2434
8,distributed,10,smoc8,22.909,2497028,2492556,157656,149104,246116,132,8,5508,2434
